Name,FullName,Generations,Latitude,Longitude,Logo,DetectorType,NeutrinoType,NeutrinoSources,EnergyMeVMin,EnergyMeVMax,Goal,Proposal,ProposedDate,StartDataTaking,DateofRetirement,DetectorDetails,Discovery,,,,,,,,,,,,,,,,,
TAMBO,,,-15.60,-71.80,,"Fine Grained Detector, Long-Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2K,,,36.425,137.310,,Liquid scintillator,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,
STEREO,,,45.245,5.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soudan1,,,47.820,-92.240,,Liquid scintillator,,,,,,,,1981,1982,,,,,,,,,,,,,,,,,,,
SOLID,,,51.092,4.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNO-G,,,72.60,-38.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENO,,,35.682,127.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTOLEMY,,,42.454,13.576,,Liquid scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT,,,35.930,-84.310,,Cyclotron Radiation Emission Spectroscopy (CRES),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 8,,,47.655,-122.307,,Spacecraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POEMMA,,,18.35,-66.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PandaX-III,,,28.153,101.714,,Scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERA,,,42.427,13.576,,,,,,,,,,2008,2012,,,,,,,,,,,,,,,,,,,
NUSEX,,,42.45,13.57,,Cyogenic detectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUCLEUS & MINER,,,51.09,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMAD,,,46.234,6.050,,,,,,,,,,1995,1998,,,,,,,,,,,,,,,,,,,
NEXT,,,40.459,-3.923,,,,,,,,,,2008,2015,,,,,,,,,,,,,,,,,,,
nEXO,,,46.470,-81.186,,Liquid scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutrino-4,,,59.85,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEOS,,,36.425,127.371,,Steel Scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINOS,,,47.820,-92.240,,cylindrical drift chamber,,,,,,,,2005,2012,,,,,,,,,,,,,,,,,,,
MEG II,,,46.233,6.050,,p-type point contact (PPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJORANA DEMONSTRATOR,,,44.352,-103.751,,Electromagnetic Collimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz,,,49.993,8.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENA,,,47.206,8.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND,,,42.45,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM3NeT,,,36.274,16.102,,,,,,,,,,2008,2022,,,,,,,,,,,,,,,,,,,
KGF,,,12.835,78.205,,Tritium Spectrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATRIN,,,49.091,8.429,,Liquid Sctillator,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,
KamLAND,,,36.426,137.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2K,,,36.425,137.310,,Liquid scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNO-TAO,,,22.119,112.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JParc-Sterile Neutrino Search,,,36.465,140.607,,Liquid Scintillator Counter made with Lithium-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IsoDAR,,,36.426,137.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine-Michigan-Brookhaven detector,,,41.503,-81.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,,,49.249,-123.244,,Scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNT,,,30.0,120.0,,Microcalorimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes,,,44.405,8.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND,,,43.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERDA,,,42.454,13.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALLEX,,,42.454,13.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADZOOKS,,,36.425,137.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frejus,,,45.119,6.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASER,,,46.233,6.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXO-200,,,32.371,-103.791,,metallic magnetic calorimeters (MMCs),,,,,,,,2011,2018,,,,,,,,,,,,,,,,,,,
ECHo,,,53.575,9.970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNE,,,44.352,-103.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Chooz,,,50.072,1.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONuT,,,41.840,-88.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMETER,,,46.226,2.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daya Bay,,,22.603,114.544,,LArTPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarkSide-50,,,42.454,13.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANSS,,,59.168,35.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2O,,,46.471,-81.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPID,,,42.454,13.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUORE,,,42.454,13.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNIE,,,-23.010,-44.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHERENT,,,35.932,-84.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANDLES,,,36.426,137.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugey,,,45.620,5.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
